nivel,frequencia,probabilidade,cdf,lut
108,0,0.0,0.8795760459533608,224
109,0,0.0,0.8795760459533608,224
110,0,0.0,0.8795760459533608,224
111,0,0.0,0.8795760459533608,224
112,0,0.0,0.8795760459533608,224
113,0,0.0,0.8795760459533608,224
114,0,0.0,0.8795760459533608,224
115,0,0.0,0.8795760459533608,224
116,0,0.0,0.8795760459533608,224
117,0,0.0,0.8795760459533608,224
118,0,0.0,0.8795760459533608,224
119,0,0.0,0.8795760459533608,224
120,0,0.0,0.8795760459533608,224
121,0,0.0,0.8795760459533608,224
122,0,0.0,0.8795760459533608,224
123,0,0.0,0.8795760459533608,224
124,0,0.0,0.8795760459533608,224
125,0,0.0,0.8795760459533608,224
126,0,0.0,0.8795760459533608,224
127,0,0.0,0.8795760459533608,224
128,0,0.0,0.8795760459533608,224
129,0,0.0,0.8795760459533608,224
130,0,0.0,0.8795760459533608,224
131,0,0.0,0.8795760459533608,224
132,0,0.0,0.8795760459533608,224
133,0,0.0,0.8795760459533608,224
134,0,0.0,0.8795760459533608,224
135,0,0.0,0.8795760459533608,224
136,0,0.0,0.8795760459533608,224
137,0,0.0,0.8795760459533608,224
138,0,0.0,0.8795760459533608,224
139,0,0.0,0.8795760459533608,224
140,0,0.0,0.8795760459533608,224
141,0,0.0,0.8795760459533608,224
142,0,0.0,0.8795760459533608,224
143,0,0.0,0.8795760459533608,224
144,0,0.0,0.8795760459533608,224
145,0,0.0,0.8795760459533608,224
146,0,0.0,0.8795760459533608,224
147,0,0.0,0.8795760459533608,224
148,0,0.0,0.8795760459533608,224
149,0,0.0,0.8795760459533608,224
150,0,0.0,0.8795760459533608,224
151,0,0.0,0.8795760459533608,224
152,0,0.0,0.8795760459533608,224
153,0,0.0,0.8795760459533608,224
154,0,0.0,0.8795760459533608,224
155,0,0.0,0.8795760459533608,224
156,0,0.0,0.8795760459533608,224
157,0,0.0,0.8795760459533608,224
158,0,0.0,0.8795760459533608,224
159,0,0.0,0.8795760459533608,224
160,0,0.0,0.8795760459533608,224
161,0,0.0,0.8795760459533608,224
162,0,0.0,0.8795760459533608,224
163,0,0.0,0.8795760459533608,224
164,0,0.0,0.8795760459533608,224
165,0,0.0,0.8795760459533608,224
166,0,0.0,0.8795760459533608,224
167,0,0.0,0.8795760459533608,224
168,0,0.0,0.8795760459533608,224
169,0,0.0,0.8795760459533608,224
170,0,0.0,0.8795760459533608,224
171,0,0.0,0.8795760459533608,224
172,0,0.0,0.8795760459533608,224
173,0,0.0,0.8795760459533608,224
174,0,0.0,0.8795760459533608,224
175,0,0.0,0.8795760459533608,224
176,0,0.0,0.8795760459533608,224
177,0,0.0,0.8795760459533608,224
178,0,0.0,0.8795760459533608,224
179,0,0.0,0.8795760459533608,224
180,0,0.0,0.8795760459533608,224
181,0,0.0,0.8795760459533608,224
182,0,0.0,0.8795760459533608,224
183,0,0.0,0.8795760459533608,224
184,0,0.0,0.8795760459533608,224
185,0,0.0,0.8795760459533608,224
186,0,0.0,0.8795760459533608,224
187,0,0.0,0.8795760459533608,224
188,0,0.0,0.8795760459533608,224
189,0,0.0,0.8795760459533608,224
190,0,0.0,0.8795760459533608,224
191,0,0.0,0.8795760459533608,224
192,0,0.0,0.8795760459533608,224
193,0,0.0,0.8795760459533608,224
194,0,0.0,0.8795760459533608,224
195,0,0.0,0.8795760459533608,224
196,0,0.0,0.8795760459533608,224
197,0,0.0,0.8795760459533608,224
198,0,0.0,0.8795760459533608,224
199,0,0.0,0.8795760459533608,224
200,0,0.0,0.8795760459533608,224
201,0,0.0,0.8795760459533608,224
202,0,0.0,0.8795760459533608,224
203,0,0.0,0.8795760459533608,224
204,0,0.0,0.8795760459533608,224
205,0,0.0,0.8795760459533608,224
206,0,0.0,0.8795760459533608,224
207,0,0.0,0.8795760459533608,224
208,0,0.0,0.8795760459533608,224
209,0,0.0,0.8795760459533608,224
210,0,0.0,0.8795760459533608,224
211,0,0.0,0.8795760459533608,224
212,0,0.0,0.8795760459533608,224
213,0,0.0,0.8795760459533608,224
214,0,0.0,0.8795760459533608,224
215,0,0.0,0.8795760459533608,224
216,0,0.0,0.8795760459533608,224
217,0,0.0,0.8795760459533608,224
218,0,0.0,0.8795760459533608,224
219,0,0.0,0.8795760459533608,224
220,0,0.0,0.8795760459533608,224
221,0,0.0,0.8795760459533608,224
222,0,0.0,0.8795760459533608,224
223,0,0.0,0.8795760459533608,224
224,0,0.0,0.8795760459533608,224
225,0,0.0,0.8795760459533608,224
226,0,0.0,0.8795760459533608,224
227,0,0.0,0.8795760459533608,224
228,0,0.0,0.8795760459533608,224
229,0,0.0,0.8795760459533608,224
230,0,0.0,0.8795760459533608,224
231,0,0.0,0.8795760459533608,224
232,0,0.0,0.8795760459533608,224
233,0,0.0,0.8795760459533608,224
